customer_id,customer_type,registration_date,age,nationality,residency_country,occupation_category,declared_annual_income,declared_annual_turnover,num_accounts,kyc_risk_rating,pep_status,sanctions_screening_flag,industry_code,suspicious_activity_confirmed,split
CUST_0000,corporate,2011-08-08,,DK,DK,,,41770000.0,3,medium,False,False,J62,,test
CUST_0001,personal,2022-07-23,20.0,AT,DK,student,112000.0,,1,low,False,False,,,test
CUST_0002,sole_trader,2021-06-27,52.0,DK,DK,consulting,556000.0,,3,low,False,False,,0.0,val
CUST_0003,sole_trader,2023-10-07,42.0,DK,DK,trade,809000.0,2123000.0,3,low,False,False,S96,0.0,train
CUST_0004,personal,2023-07-27,54.0,GB,DK,finance,352000.0,,1,low,False,False,,,test
CUST_0005,personal,2022-04-05,22.0,DK,DK,creative,327000.0,,2,low,False,False,,0.0,train
CUST_0006,corporate,2017-02-27,,DK,DK,,,43575000.0,4,low,False,False,K64,,test
CUST_0007,corporate,2020-05-22,,DK,DK,,,23650000.0,3,low,False,False,G46,,test
CUST_0008,personal,2015-07-20,33.0,DK,DK,engineering,397000.0,,2,low,False,False,,,test
CUST_0009,personal,2022-01-07,20.0,AE,DK,student,83000.0,,2,medium,False,False,,,test
CUST_0010,personal,2017-10-25,47.0,DK,DK,public_sector,449000.0,,3,low,False,False,,,test
CUST_0011,personal,2018-06-28,44.0,DK,DK,self_employed,2920000.0,,5,low,False,False,,0.0,train
CUST_0012,SME,2022-06-10,30.0,DK,DK,self_employed,327000.0,4270000.0,3,low,False,False,G47,0.0,val
CUST_0013,corporate,2019-05-13,,DK,DK,,,20083000.0,2,low,False,False,J62,,test
CUST_0014,personal,2015-01-01,24.0,DK,DK,student,129000.0,,2,low,False,False,,0.0,train
CUST_0015,personal,2023-06-07,35.0,DK,DK,education,747000.0,,2,low,False,False,,,test
CUST_0016,personal,2019-05-10,85.0,DK,DK,retired,427000.0,,2,low,False,False,,0.0,train
CUST_0017,personal,2022-09-28,34.0,DK,DK,public_sector,342000.0,,3,low,False,False,,,test
CUST_0018,corporate,2022-05-07,,DK,DK,,,48647000.0,5,low,False,False,G46,,test
CUST_0019,SME,2023-02-01,28.0,PL,DK,self_employed,855000.0,658000.0,4,low,False,False,S96,0.0,train
CUST_0020,corporate,2022-08-30,,DK,DK,,,5040000.0,2,low,False,False,C28,0.0,val
CUST_0021,personal,2021-12-21,32.0,DE,DK,finance,208000.0,,2,low,False,False,,,test
CUST_0022,personal,2023-07-29,27.0,DK,DK,creative,296000.0,,2,low,False,False,,0.0,train
CUST_0023,sole_trader,2023-10-03,39.0,DK,DK,consulting,288000.0,,2,low,False,False,,0.0,train
CUST_0024,sole_trader,2018-01-22,,DK,DK,trade,,32291000.0,3,low,False,False,C28,0.0,train
CUST_0025,personal,2019-10-09,53.0,DK,DK,IT,381000.0,,1,low,False,False,,0.0,train
CUST_0026,personal,2017-09-07,22.0,DK,DK,student,186000.0,,2,low,False,False,,,test
CUST_0027,personal,2019-11-15,52.0,DK,DK,engineering,414000.0,,2,low,False,False,,0.0,train
CUST_0028,personal,2019-10-14,40.0,DK,DK,engineering,327000.0,,1,low,False,False,,,test
CUST_0029,SME,2005-01-01,56.0,CN,DK,retail,668000.0,4995000.0,3,low,False,False,F41,,test
CUST_0030,sole_trader,2016-11-26,48.0,DK,DK,trade,224000.0,4315000.0,2,low,False,False,F41,0.0,train
CUST_0031,personal,2022-06-01,27.0,DK,DK,creative,228000.0,,1,low,False,False,,0.0,val
CUST_0032,personal,2021-07-27,32.0,DK,DK,education,301000.0,,1,low,False,False,,0.0,val
CUST_0033,personal,2023-10-20,51.0,SE,DK,IT,557000.0,,1,low,False,False,,0.0,train
CUST_0034,personal,2019-06-26,24.0,DK,DK,student,138000.0,,1,low,False,False,,0.0,train
CUST_0035,personal,2021-04-03,53.0,DK,DK,healthcare,279000.0,,1,low,False,False,,0.0,train
CUST_0036,personal,2023-03-05,28.0,DK,DK,IT,342000.0,,3,low,False,False,,0.0,train
CUST_0037,personal,2013-05-25,28.0,US,DK,student,82000.0,,1,low,False,False,,,test
